id;codigo;nome;endereco;cidade;uf;bairro;rede;vendedor;loja;reigao;latitude;longitude;created_at
;1899;Assai Barris ;;Salvador;BA;;Assai;Nixon;51;;;;
;1899;Assai Cabula ;;Salvador;BA;;Assai;Nixon;52;;;;
;1899;Assai Calcada ;;Salvador;BA;;Assai;Nixon;39;;;;
;1899;Assai Camacari ;;Camacari;BA;;Assai;Nixon;35;;;;
;1899;Assai Feira Sobradinho ;;Feira De Santana;BA;;Assai;Nixon;13;;;;
;1899;Assai Feira Tomba ;;Feira De Santana;BA;;Assai;Nixon;75;;;;
;1899;Assai Imbui ;;Salvador;BA;;Assai;Nixon;74;;;;
;1899;Assai Inacio Barbosa (Adelia);;Aracaju;SE;;Assai;Nixon;54;;;;
;1899;Assai Juazeiro ;;Juazeiro;BA;;Assai;Antonio;81;;;;
;1899;Assai Lauro De Freitas ;;Lauro De Freitas;BA;;Assai;Nixon;34;;;;
;1899;Assai Luis Anselmo (Rotula);;Salvador;BA;;Assai;Nixon;67;;;;
;1899;Assai Mussurunga ;;Salvador;BA;;Assai;Nixon;37;;;;
;1899;Assai N Sra Do Socorro ;;Nossa Senhora Do Socorro;SE;;Assai;Nixon;66;;;;
;1899;Assai Norte (Jose Conrado);;Aracaju;SE;;Assai;Nixon;42;;;;
;1899;Assai Paripe ;;Salvador;BA;;Assai;Nixon;36;;;;
;1899;Assai Pau Da Lima (Golf);;Salvador;BA;;Assai;Nixon;38;;;;
;1899;Assai Petrolina ;;Petrolina;PE;;Assai;Antonio;79;;;;
;1899;Assai Porto Itabaiana;;Itabaiana;SE;;Assai;Nixon;44;;;;
;1899;Assai Sr Do Bonfim ;;Senhor Do Bonfim;BA;;Assai;Antonio;80;;;;
;1899;Assai Sul (Aeroporto);;Aracaju;SE;;Assai;Nixon;43;;;;
;1899;Assai Vasco Da Gama;;Salvador;BA;;Assai;Nixon;53;;;;
;2;Atac Barros Reis ;;Salvador;BA;;Atacadao;Nixon;25;;;;
;48;Atac Cabula ;;Salvador;BA;;Atacadao;Nixon;20;;;;
;2;Atac Cajazeiras ;;Salvador;BA;;Atacadao;Nixon;27;;;;
;2;Atac Camacari ;;Camacari;BA;;Atacadao;Nixon;38;;;;
;48;Atac Camacari Centro ;;Camacari;BA;;Atacadao;Nixon;17;;;;
;2;Atac Feira Santana ;;Feira De Santana;BA;;Atacadao;Nixon;28;;;;
;2;Atac Lauro Freitas ;;Lauro De Freitas;BA;;Atacadao;Nixon;26;;;;
;48;Atac Mares ;;Salvador;BA;;Atacadao;Nixon;8;;;;
;2;Atacadao Brotas ;;Salvador;BA;;Atacadao;Nixon;72;;;;
;2;Atacadao Cam Das Arvores ;;Salvador;BA;;Atacadao;Nixon;73;;;;
;2;Atacadao Canabrava ;;Salvador;BA;;Atacadao;Nixon;76;;;;
;2;Atacadao Mata Escura ;;Salvador;BA;;Atacadao;Nixon;77;;;;
;2;Atacadao Parque Bela Vista ;;Salvador;BA;;Atacadao;Nixon;75;;;;
;2;Atacadao Petrolina ;;Petrolina;PE;;Atacadao;Antonio;51;;;;
;2;Atacadao Simoes Filho;;Simoes Filho;BA;;Atacadao;Nixon;71;;;;
;2;Atacadao Subae Feira;;Feira De Santana;BA;;Atacadao;Nixon;70;;;;
;48;Maxxi Bonoco ;;Salvador;BA;;Atacadao;Nixon;15;;;;
;48;Maxxi Lauro ;;Lauro De Freitas;BA;;Atacadao;Nixon;7;;;;
;48;Maxxi Pau Da Lima ;;Salvador;BA;;Atacadao;Nixon;6;;;;
;213;Atakarejo Alagoinhas;;Alagoinhas;BA;;Atakarejo;Ricardo Santos;29;;;;
;213;Atakarejo Aracaju Adelia ;;Aracaju;SE;;Atakarejo;Ricardo Santos;21;;;;
;213;Atakarejo Aracaju Paraiso ;;Aracaju;SE;;Atakarejo;Ricardo Santos;46;;;;
;213;Atakarejo Baixa De Quintas ;;Salvador;BA;;Atakarejo;Ricardo Santos;28;;;;
;213;Atakarejo Boca Do Rio ;;Salvador;BA;;Atakarejo;Ricardo Santos;7;;;;
;213;Atakarejo Camacari ;;Camacari;BA;;Atakarejo;Ricardo Santos;13;;;;
;213;Atakarejo Catu ;;Catu;BA;;Atakarejo;Ricardo Santos;41;;;;
;213;Atakarejo Cd Simoes Filho ;;Simoes Filho;BA;;Atakarejo;Ricardo Santos;12;;;;
;213;Atakarejo Cd V. Da Conquista ;;Vitoria Da Conquista;BA;;Atakarejo;Ricardo Santos;18;;;;
;213;Atakarejo Dias Davila;;Dias D'Avila;BA;;Atakarejo;Ricardo Santos;38;;;;
;213;Atakarejo Estancia ;;Estancia;SE;;Atakarejo;Ricardo Santos;47;;;;
;213;Atakarejo Feira Barauna ;;Feira De Santana;BA;;Atakarejo;Ricardo Santos;19;;;;
;213;Atakarejo Feira Mangabeira ;;Feira De Santana;BA;;Atakarejo;Ricardo Santos;39;;;;
;213;Atakarejo Feira Sim ;;Feira De Santana;BA;;Atakarejo;Ricardo Santos;40;;;;
;213;Atakarejo Iguatemi ;;Salvador;BA;;Atakarejo;Ricardo Santos;1;;;;
;213;Atakarejo Ilha Vera Cruz;;Vera Cruz;BA;;Atakarejo;Ricardo Santos;17;;;;
;213;Atakarejo Ilheus ;;Ilheus;BA;;Atakarejo;Ricardo Santos;20;;;;
;213;Atakarejo Itabaiana ;;Itabaiana;SE;;Atakarejo;Ricardo Santos;45;;;;
;213;Atakarejo Itacimirim ;;Camacari;BA;;Atakarejo;Ricardo Santos;16;;;;
;213;Atakarejo Lagarto ;;Lagarto;SE;;Atakarejo;Ricardo Santos;44;;;;
;213;Atakarejo Lauro ;;Lauro De Freitas;BA;;Atakarejo;Ricardo Santos;2;;;;
;213;Atakarejo N. Senhora Da Gloria ;;Nossa Senhora Da Gloria;SE;;Atakarejo;Ricardo Santos;43;;;;
;213;Atakarejo Patamares ;;Salvador;BA;;Atakarejo;Ricardo Santos;14;;;;
;213;Atakarejo Pernambues ;;Salvador;BA;;Atakarejo;Ricardo Santos;11;;;;
;213;Atakarejo Piata ;;Salvador;BA;;Atakarejo;Ricardo Santos;5;;;;
;213;Atakarejo Pinto De Aguiar ;;Salvador;BA;;Atakarejo;Ricardo Santos;31;;;;
;213;Atakarejo Pojuca ;;Pojuca;BA;;Atakarejo;Ricardo Santos;33;;;;
;213;Atakarejo Porto Seguro ;;Porto Seguro;BA;;Atakarejo;Ricardo Santos;22;;;;
;213;Atakarejo S. Goncalo Dos Campos ;;Sao Goncalo Dos Campos;BA;;Atakarejo;Ricardo Santos;25;;;;
;213;Atakarejo Salvador ;;Salvador;BA;;Atakarejo;Ricardo Santos;9;;;;
;213;Atakarejo Sete De Abril ;;Salvador;BA;;Atakarejo;Ricardo Santos;32;;;;
;213;Atakarejo Simoes Filho Lj;;Simoes Filho;BA;;Atakarejo;Ricardo Santos;30;;;;
;213;Atakarejo Vasco;;Salvador;BA;;Atakarejo;Ricardo Santos;15;;;;
