codigo;nome fantasia;rede;vendedor;cidade;bairro;uf
213;Atakarejo Alagoinhas;Atakarejo;Ricardo Santos;Alagoinhas;Alagoinhas;BA
213;Atakarejo Catu ;Atakarejo;Ricardo Santos;Catu;Catu;BA
213;Atakarejo Pojuca ;Atakarejo;Ricardo Santos;Pojuca;Pojuca;BA
4245;Cdp Manoel Dia D'Avila Loja;Cesta Do Povo;Nixon;Dias D'Avila;Loja;BA
4245;Cdp Mata Premium Lj;Cesta Do Povo;Nixon;Mata De Sao Joao;Lj;BA
4245;Cdp Super Centro Mata Loja;Cesta Do Povo;Nixon;Mata De Sao Joao;Loja;BA
1899;Assai N Sra Do Socorro ;Assai;Nixon;Nossa Senhora Do Socorro;Socorro;SE
1899;Assai Norte (Jose Conrado);Assai;Nixon;Aracaju;Conrado);SE
1899;Assai Sul (Aeroporto);Assai;Nixon;Aracaju;Aeroporto);SE
213;Atakarejo Aracaju Adelia ;Atakarejo;Ricardo Santos;Aracaju;Adelia;SE
213;Atakarejo Aracaju Paraiso ;Atakarejo;Ricardo Santos;Aracaju;Paraiso;SE
213;Atakarejo Estancia ;Atakarejo;Ricardo Santos;Estancia;Estancia;SE
1899;Assai Barris ;Assai;Nixon;Salvador;Barris;BA
213;Atakarejo Camacari ;Atakarejo;Ricardo Santos;Camacari;Camacari;BA
213;Atakarejo Feira Barauna ;Atakarejo;Ricardo Santos;Feira De Santana;Barauna;BA
213;Atakarejo Feira Mangabeira ;Atakarejo;Ricardo Santos;Feira De Santana;Mangabeira;BA
213;Atakarejo Feira Sim ;Atakarejo;Ricardo Santos;Feira De Santana;Sim;BA
213;Atakarejo S. Goncalo Dos Campos ;Atakarejo;Ricardo Santos;Sao Goncalo Dos Campos;Campos;BA
1899;Assai Porto Itabaiana;Assai;Nixon;Itabaiana;Itabaiana;SE
1899;Assai Lauro De Freitas ;Assai;Nixon;Lauro De Freitas;Freitas;BA
213;Atakarejo Lauro ;Atakarejo;Ricardo Santos;Lauro De Freitas;Lauro;BA
213;Atakarejo N. Senhora Da Gloria ;Atakarejo;Ricardo Santos;Nossa Senhora Da Gloria;Gloria;SE
213;Atakarejo Boca Do Rio ;Atakarejo;Ricardo Santos;Salvador;Rio;BA
213;Atakarejo Patamares ;Atakarejo;Ricardo Santos;Salvador;Patamares;BA
213;Atakarejo Piata ;Atakarejo;Ricardo Santos;Salvador;Piata;BA
2647;Cdp Boca Do Rio Loja;Cesta Do Povo;Nixon;Salvador;Loja;BA
1899;Assai Mussurunga ;Assai;Nixon;Salvador;Mussurunga;BA
1899;Assai Juazeiro ;Assai;Antonio;Juazeiro;Juazeiro;BA
1899;Assai Petrolina ;Assai;Antonio;Petrolina;Petrolina;PE
213;Atakarejo Iguatemi ;Atakarejo;Ricardo Santos;Salvador;Iguatemi;BA
213;Atakarejo Pernambues ;Atakarejo;Ricardo Santos;Salvador;Pernambues;BA
4245;Cdp Rodoviaria Loja;Cesta Do Povo;Nixon;Salvador;Loja;BA
213;Atakarejo Porto Seguro ;Atakarejo;Ricardo Santos;Porto Seguro;Seguro;BA
1899;Assai Cabula ;Assai;Nixon;Salvador;Cabula;BA
4245;Cdp Castelo Branco Loja;Cesta Do Povo;Nixon;Salvador;Loja;BA
4245;Cdp Marechal Rondon Loja;Cesta Do Povo;Nixon;Salvador;Loja;BA
4245;Cdp Ogunja Loja;Cesta Do Povo;Nixon;Salvador;Loja;BA
4245;Cdp Sao Caetano Loja;Cesta Do Povo;Nixon;Salvador;Loja;BA
1899;Assai Sr Do Bonfim ;Assai;Antonio;Senhor Do Bonfim;Bonfim;BA
213;Atakarejo Cd Simoes Filho ;Atakarejo;Ricardo Santos;Simoes Filho;Filho;BA
213;Atakarejo Simoes Filho Lj;Atakarejo;Ricardo Santos;Simoes Filho;Lj;BA
1899;Assai Calcada ;Assai;Nixon;Salvador;Calcada;BA
1899;Assai Paripe ;Assai;Nixon;Salvador;Paripe;BA
2797;Cdp Sete Portas Loja;Cesta Do Povo;Nixon;Salvador;Loja;BA
4245;Cdp Sete Portas Novo ;Cesta Do Povo;Nixon;Salvador;Novo;BA
1899;Assai Vasco Da Gama;Assai;Nixon;Salvador;Gama;BA
213;Atakarejo Vasco;Atakarejo;Ricardo Santos;Salvador;Vasco;BA
213;Atakarejo Ilha Vera Cruz;Atakarejo;Ricardo Santos;Vera Cruz;Cruz;BA
213;Atakarejo Cd V. Da Conquista ;Atakarejo;Ricardo Santos;Vitoria Da Conquista;Conquista;BA
213;Atakarejo Vitoria Da Conquista ;Atakarejo;Ricardo Santos;Vitoria Da Conquista;Conquista;BA
