codigo;loja;nome;N Fantasia;endereco;complemento;bairro;uf;codigo_municipio;municipio;cep;pais;cnpj_cpf;ins_estadual;latitude;longitude;vendedor;rede;regiao
213;29;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO ALAGOINHA;ALAMEDA DAS AGUAS SN;;NOVO HORIZONTE;BA;702;ALAGOINHAS;48009-886;105;73.849.952/0012-00;140.557.558;-121.339.689;-384.211.223;Ricardo;Atakarejo;Alagoinhas e regiao
213;33;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO POJUCA;VIA BA 533 SN;;STAR;BA;25204;POJUCA;48120-000;105;73.849.952/0049-00;220.799.768;-124.308.263;-383.281.873;Ricardo;Atakarejo;Alagoinhas e regiao
213;38;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO;RUA SEM DENOMINACAO 251;;CENTRO;BA;10057;DIAS D'AVILA;42850-000;105;73.849.952/0052-06;225.505.894;-126.859.468;-383.546.067;Ricardo;Atakarejo;Alagoinhas e regiao
213;41;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO  CATU;AVENIDA PADRE CUPERTINO 00;CENTRO NUMERO 00;CENTRO;BA;7509;CATU;48110-000;105;73.849.952/0054-60;225533622;-123.555.485;-3.837.607.939.999.990;Ricardo;Atakarejo;Alagoinhas e regiao
213;42;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO;AVENIDA PADRE CUPERTINO 00;;CENTRO;BA;7509;CATU;48110-000;105;73.849.952/0054-60;225533622;-123.555.485;-3.837.607.939.999.990;Ricardo;Atakarejo;Alagoinhas e regiao
4245;2;CDP SUPERMERCADOS LTDA;CDP SUPER CENTRO MATA LOJA 10;PC BARAO ACU DA TORRE 41;;CENTRO - SEDE;BA;21005;MATA DE SAO JOAO;48280-000;105;43.941.941/0006-47;195180153;-125.291.672;-382.964.645;Nixon;Cdp;Alagoinhas e regiao
4245;3;CDP SUPERMERCADOS LTDA;CDP MATA PREMIUM LJ 01;RUA LUIZ ANTONIO GARCEZ S/N;;CENTRO - SEDE;BA;21005;MATA DE SAO JOAO;48280-000;105;43.941.941/0010-23;195718346;-125.311.601;-382.968.256;Nixon;Cdp;Alagoinhas e regiao
4245;4;CDP SUPERMERCADOS LTDA;CDP ALAGOINHAS LOJA 11;AVENIDA 24 DE MAIO 17;;CENTRO;BA;702;ALAGOINHAS;48000-127;105;43.941.941/0007-28;195.180.488;-121.353.847;-384.224.777;Nixon;Cdp;Alagoinhas e regiao
4245;6;CDP SUPERMERCADOS LTDA;CDP MANOEL DIA D'AVILA LOJA 04;AVENIDA BRASIL 09;CENTRO;CENTRO;BA;10057;DIAS D'AVILA;42850-000;105;43.941.941/0008-09;195.180.261;-126.112.952;-383.003.649;Nixon;Cdp;Alagoinhas e regiao
4245;11;CDP SUPERMERCADOS LTDA;CDP SUPER MATA LOJA 02;RUA ARTUR TORRES 17;;CENTRO - SEDE;BA;21005;MATA DE SAO JOAO;48280-000;105;43.941.941/0009-90;195.180.350;-125.275.989;-3.830.634.939.999.990;Nixon;Cdp;Alagoinhas e regiao
4245;12;CDP SUPERMERCADOS LTDA;CDP ESPLANADA;AVENIDA MARIO ANDREAZZA - 60 CENTRO, ESP;60 CENTRO;ESPALANADA;BA;10057;DIAS D'AVILA;48370-000;105;43.941.941/0019-61;222.072.348;-11.800.994;-379.439.208;Nixon;Cdp;Alagoinhas e regiao
4245;13;CDP SUPERMERCADOS LTDA;CDP ENTRE RIOS CENTRO;PRACA BARAO DO RIO BRANCO;97, CENTRO;CENTRO;BA;10503;ENTRE RIOS;48180-000;105;43.941.941/0020-03;222.072.564;-217.551.737;-433.517.206;Nixon;Cdp;Alagoinhas e regiao
4245;14;CDP SUPERMERCADOS LTDA;CDP GENARO DIAS DAVILA;AVENIDA GARCIA D AVILA - S/N, GENARO;S/N, GENARO;GENARO;BA;10057;DIAS D'AVILA;42850-000;105;43.941.941/0017-08;222.072.122;-126.138.971;-382.951.767;Nixon;Cdp;Alagoinhas e regiao
4245;15;CDP SUPERMERCADOS LTDA;CDP CENTRO DIAS DAVILA;AVENIDA BRASIL- 164, CENTRO;164 CENTRO;DIAS DAVILA;BA;10057;DIAS D'AVILA;42850-000;105;43.941.941/0018-80;222.072.230;-126.112.969;-383.011.702;Nixon;Cdp;Alagoinhas e regiao
4245;16;CDP SUPERMERCADOS LTDA;CDP CENTRO - SEDE;RUA SANTOS DUMONT S/N;;CENTRO - SEDE;BA;21005;MATA DE SAO JOAO;48280-000;105;43.941.941/0016-19;219.955.171;-125.317.991;-382.976.306;Nixon;Cdp;Alagoinhas e regiao
4245;18;CDP SUPERMERCADOS LTDA;CESTA DO POVO;RUA DESEMBARGADOR PEDRO RIBEIRO 62;;CENTRO;BA;7509;CATU;48110-000;105;43.941.941/0003-02;189.576.707;-12.379.332;-38.386.894;Nixon;Cdp;Alagoinhas e regiao
82;18;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA 018 ESPLANADA;PRACA.LADISLAU CAVALCANTE,18;;CENTRO;BA;10602;ESPLANADA;48370-000;105;39.346.861/0045-82;56.626.573;-118.021.588;-379.439.001;Vinicius;Gbarbosa;Alagoinhas e regiao
82;22;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA 037 ALAGOINHAS;RUA DR.DANTAS BIAO S/N;;CENTRO;BA;702;ALAGOINHAS;48000-000;105;39.346.861/0056-35;56.627.266;-121.388.388;-384.125.104;Vinicius;Gbarbosa;Alagoinhas e regiao
82;23;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA 038 ALAGOINHAS;PRACA DA BANDEIRA 01;;CENTRO;BA;702;ALAGOINHAS;48005-170;105;39.346.861/0052-01;56.626.807;-121.387.577;-384.247.005;Vinicius;Gbarbosa;Alagoinhas e regiao
82;24;CENCOSUD BRASIL COMERCIAL SA;GBARBOSA 039 ALAGOINHAS;PRACA PADRE ALFREDO,86;;CENTRO;BA;702;ALAGOINHAS;48050-010;105;39.346.861/0051-20;56.626.681;-121.394.141;-384.253.209;Vinicius;Gbarbosa;Alagoinhas e regiao
5085;1;DISTRIBUIDORA DE ALIMENTOS NORTE LTDA;CDP CD MONTE LIBANO;RODOVIA BA 093, DISTRITO INDUSTRIAL SN;;MONTE LIBANO;BA;21005;MATA DE SAO JOAO;48280-000;105;07.803.111/0001-85;68.114.699;-125.281.558;-383.091.439;Nixon;Outros;Alagoinhas e regiao
2613;14;HIPERIDEAL EMPREENDIMENTOS LTDA;SERRANA - PRAIA DO FORTE;ROD BA 099 KM 54 SN;LOTE 04;PRAIA DO FORTE;BA;21005;MATA DE SAO JOAO;48280-000;105;02.212.937/0014-70;82707448;-122.701.519;-378.763.488;Vinicius;Hiperideal;Alagoinhas e regiao
2613;3;SERRANA EMPREENDIMENTOS E PARTICIPACOES LTDA;HIPERIDEAL PRAIA DO FORTE;ROD BA 099 KM 54 S/N;LOTE 04;PRAIA DO FORTE;BA;21005;MATA DE SAO JOAO;48280-000;105;02.212.937/0014-70;82.707.448;-122.701.519;-378.763.488;Ricardo;Hiperideal;Alagoinhas e regiao
4382;1;SUPERMERCADO CATU LTDA;CDP CATU LOJA 12;R DESEMBARGADOR PEDRO RIBEIRO 62;;CENTRO;BA;7509;CATU;48110-000;105;39.869.867/0001-13;173607144;-12.379.332;-38.386.894;Nixon;Cdp;Alagoinhas e regiao
213;21;ATAKAREJO DISTRIBUIDOR DE ALIMENTOS E BEBIDAS S.A;ATAKAREJO ARACAJU ADELIA;AVENIDA ADELIA FRANCO 2350;;LUZIA;SE;308;ARACAJU;49048-010;105;73.849.952/0044-98;27.216.861-0;-1.093.916;-370.636.888;Ricardo;Atakarejo;Aracaju e regiao
1899;43;SENDAS DISTRIBUIDORA S/A;ASSAI AEROPORTO;AV MELICIO MACHADO 240;LOTE 01;AEROPORTO;SE;308;ARACAJU;49038-443;105;06.057.223/0404-75;27.166.581-5;-109.896.437;-370.609.661;Nixon;Assai;Aracaju e regiao
