codigo;loja;nome;N Fantasia;endereco;complemento;bairro;uf;codigo_municipio;municipio;cep;pais;cnpj_cpf;ins_estadual;latitude;longitude;vendedor;rede;regiao
2;25;ATACADAO S.A;ATAC BARROS REIS;AV BARROS REIS 1579;;CABULA;BA;27408;SALVADOR;40310-010;105;75.315.333/0016-95;57746966;-12.9607244;-38.4775376;NIXON;Atacadao;Brotas e regiao
2;26;ATACADAO S.A;ATAC LAURO FREITAS;AV SANTOS DUMONT SN;;LAURO DE FREITAS;BA;19207;LAURO DE FREITAS;42700-000;105;75.315.333/0052-59;64111216;-12.8882716;-38.3218659;NIXON;Atacadao;Lauro e regiao
2;27;ATACADAO S.A;ATAC CAJAZEIRAS;R COQUEIRO GRANDE 614;;CAJAZEIRAS;BA;27408;SALVADOR;41342-840;105;75.315.333/0058-44;69287831;-12.9120721;-38.4034526;NIXON;Atacadao;Brotas e regiao
2;28;ATACADAO S.A;ATAC FEIRA SANTANA;AV EDUARDO FROES DA MOTA 5500;;MORADA DAS ARVORES;BA;10800;FEIRA DE SANTANA;44021-210;105;75.315.333/0066-54;76229052;-12.2314741;-38.9736546;NIXON;Atacadao;Feira e regiao
2;30;ATACADAO S.A;ATAC JUAZEIRO BA;ROD BR 407 KM 06 AREA 01 A SN;;ZONA URBANA;BA;18407;JUAZEIRO;48900-000;105;75.315.333/0073-83;77552288;-9.4262342;-40.4917247;NIXON;Atacadao;Petrolina e regiao
2;31;ATACADAO S.A;ATAC EUNAPOLIS;AV ANTONIO CARLOS MAGALHAES SN;;RECANTO DAS ARVORES;BA;10727;EUNAPOLIS;45825-580;105;75.315.333/0093-27;82440840;-16.3716364;-39.5567439;NIXON;Atacadao;Porto Seguro e regiao
2;38;ATACADAO S.A;ATAC CAMACARI;V PARAFUSO (ANTIGA BA-535);;POLO PETROQUIMICO;BA;5701;CAMACARI;42810-200;105;75.315.333/0165-36;117480207;-12.6945472;-38.3067782;NIXON;Atacadao;Camacari e regiao
2;51;ATACADAO S.A.;ATAC PETROLINA;AV DR. ULYSSES GUIMARAES SN;QUADRA142 LOTES 120/183;JARDIM AMAZONAS;PE;11101;PETROLINA;56318-525;105;75.315.333/0244-74;83831037;-9.380173;-40.5330521;ANTONIO;Atacadao;Petrolina e regiao
2;70;ATACADAO S.A.;ATACADAO SUBAE;AV DEPUTADO LUIS EDUARDO MAGALHAES SN;;SUBAE;BA;10800;FEIRA DE SANTANA;44079-002;105;75.315.333/0191-28;133.521.087;-12.3128495;-38.8895354;NIXON;Atacadao;Feira e regiao
2;71;ATACADAO S.A.;ATACADAO KM 25;AV ENGENHEIRO WALTER ARAGAO DE SOUZA 473;;KM 25;BA;30709;SIMOES FILHO;43700-000;105;75.315.333/0225-01;149.788.599;-12.7842967;-38.3650492;NIXON;Atacadao;Simoes Filho e regiao
