codigo;loja;nome;N Fantasia;endereco;complemento;bairro;uf;codigo_municipio;municipio;cep;pais;cnpj_cpf;ins_estadual;latitude;longitude;vendedor
2;25;ATACADAO S.A;ATAC BARROS REIS;AV BARROS REIS 1579;;CABULA;BA;27408;SALVADOR;40310-010;105;75.315.333/0016-95;57746966;;;NIXON
2;26;ATACADAO S.A;ATAC LAURO FREITAS;AV SANTOS DUMONT SN;;LAURO DE FREITAS;BA;19207;LAURO DE FREITAS;42700-000;105;75.315.333/0052-59;64111216;;;NIXON
2;27;ATACADAO S.A;ATAC CAJAZEIRAS;R COQUEIRO GRANDE 614;;CAJAZEIRAS;BA;27408;SALVADOR;41342-840;105;75.315.333/0058-44;69287831;;;NIXON
2;28;ATACADAO S.A;ATAC FEIRA SANTANA;AV EDUARDO FROES DA MOTA 5500;;MORADA DAS ARVORES;BA;10800;FEIRA DE SANTANA;44021-210;105;75.315.333/0066-54;76229052;;;NIXON
2;30;ATACADAO S.A;ATAC JUAZEIRO BA;ROD BR 407 KM 06 AREA 01 A SN;;ZONA URBANA;BA;18407;JUAZEIRO;48900-000;105;75.315.333/0073-83;77552288;;;NIXON
2;31;ATACADAO S.A;ATAC EUNAPOLIS;AV ANTONIO CARLOS MAGALHAES SN;;RECANTO DAS ARVORES;BA;10727;EUNAPOLIS;45825-580;105;75.315.333/0093-27;82440840;;;NIXON
2;38;ATACADAO S.A;ATAC CAMACARI;V PARAFUSO (ANTIGA BA-535);;POLO PETROQUIMICO;BA;5701;CAMACARI;42810-200;105;75.315.333/0165-36;117480207;;;NIXON
2;51;ATACADAO S.A.;ATAC PETROLINA;AV DR. ULYSSES GUIMARAES SN;QUADRA142 LOTES 120/183;JARDIM AMAZONAS;PE;11101;PETROLINA;56318-525;105;75.315.333/0244-74;83831037;;;ANTONIO
2;70;ATACADAO S.A.;ATACADAO SUBAE;AV DEPUTADO LUIS EDUARDO MAGALHAES SN;;SUBAE;BA;10800;FEIRA DE SANTANA;44079-002;105;75.315.333/0191-28;133.521.087;;;NIXON
2;71;ATACADAO S.A.;ATACADAO KM 25;AV ENGENHEIRO WALTER ARAGAO DE SOUZA 473;;KM 25;BA;30709;SIMOES FILHO;43700-000;105;75.315.333/0225-01;149.788.599;;;NIXON
2;72;ATACADAO S.A.;ATACADAO BROTAS;AV MARIO LEAL FERREIRA 500;;BROTAS;BA;27408;SALVADOR;40285-600;105;75.315.333/0252-84;163.465.702;;;NIXON
2;73;ATACADAO S.A.;ATACADAO CAMINHO DAS ARVORES;AV TANCREDO NEVES 3413;LOJA;CAMINHO DAS ARVORES;BA;27408;SALVADOR;41820-021;105;75.315.333/0301-05;174.476.636;;;NIXON
2;75;ATACADAO S.A.;ATACADAO PARQUE BELA VISTA;AV ANTONIO CARLOS MAGALHAES SN;;PARQUE BELA VISTA;BA;27408;SALVADOR;40280-000;105;75.315.333/0313-30;180.594.779;;;NIXON
2;76;ATACADAO S.A.;ATACADAO  CANABRAVA;R ART MIO CASTRO VALENTE 1;;CANABRAVA;BA;27408;SALVADOR;41260-300;105;75.315.333/0311-79;180.594.661;;;NIXON
2;77;ATACADAO S.A.;ATACADAO MATA ESCURA;AV CARDEAL AVELAR BRANDAO VILLELA 000279;;MATA ESCURA;BA;27408;SALVADOR;41219-600;105;75.315.333/0342-75;207120099;;;NIXON
4;42;BOMPRECO SUPERMERCADOS DO NORDESTE LTDA;CARREFOUR ATRAS DA BANCA;R SAO VICENTE DE PAULA 219;;ATRAS DA BANCA;PE;11101;PETROLINA;56308-050;105;13.004.510/0256-88;0141835-10;;;VINICIUS
11;21;COMPANHIA BRASILEIRA DE DISTRIBUICAO;CBD VASCO;VASCO DA GAMA 828 0;;FEDERACAO;BA;27408;SALVADOR;40230-731;105;47.508.411/0193-37;56308648;;;RICARDO
11;22;COMPANHIA BRASILEIRA DE DISTRIBUICAO;CBD CIDADE NOVA;AVN ACM SN;;CIDADE NOVA;BA;27408;SALVADOR;40315-340;105;47.508.411/0446-09;22420046;;;RICARDO
11;24;COMPANHIA BRASILEIRA DE DISTRIBUICAO;CBD PARALELA;AV GOVERNADOR LUIZ VIANA BFILHO 3056;;PARALELA;BA;27408;SALVADOR;40301-155;105;47.508.411/0892-03;42601557;;;RICARDO
11;31;COMPANHIA BRASILEIRA DE DISTRIBUICAO;CBD-CAMINHO DAS ARVO;AVENIDA TANCREDO NEVES N 148;;CAMINHO DAS ARVORES;BA;27408;SALVADOR;41820-908;105;47.508.411/2551-46;131800575;;;RICARDO
11;33;COMPANHIA BRASILEIRA DE DISTRIBUICAO;CBD - COSTA AZUL;R ARTHUR DE AZEVEDO MACHADO, S/N;LOTE 60 61 62;COSTA AZUL;BA;27408;SALVADOR;41760-000;105;47.508.411/2588-38;143288374;;;RICARDO
47;5;WALMART BRASIL LTDA;SAMS PITUBA;AV ANTONIO CARLOS MAGALHAES 3410;;PITUBA;BA;27408;SALVADOR;41810-150;105;00.063.960/0048-64;68090489;;;VINICIUS
